title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
"Z2619645827",3156,Done,81.47,-8.84137,"glide-grid_6eti",,,-8.84137,-0.7,,,,,,,,,,,,,1,,,-8.84137,-38.9745,-6.99071,-45.9652,1.69369,-69.1256
"Z2619645827",3157,Done,90.32,-8.59044,"glide-grid_6eti",,,-8.59044,-0.7,,,,,,,,,,,,,1,,,-8.59044,-40.6462,-1.37977,-42.026,1.095,-60.6521
"Z2619645827",3158,Done,110.5,-8.86454,"glide-grid_6eti",,,-8.86454,-0.7,,,,,,,,,,,,,1,,,-8.86454,-38.5999,-6.69607,-45.296,2.0686,-66.9758
"Z2621434902",3159,Done,62.16,-7.48955,"glide-grid_6eti",,,-7.48955,0,,,,,,,,,,,,,1,,,-7.48955,-38.296,-3.00435,-41.3003,1.41127,-64.0277
"Z2621434902",3160,Done,54.1,-8.88611,"glide-grid_6eti",,,-8.88611,0,,,,,,,,,,,,,1,,,-8.88611,-43.301,-3.30586,-46.6068,1.18163,-70.6219
"Z2763812261",3161,Done,94.63,-8.0301,"glide-grid_6eti",,,-8.0301,0,,,,,,,,,,,,,1,,,-8.0301,-31.5606,-2.31958,-33.8802,8.86704,-46.1074
"Z2763812261",3162,Done,85.1,-7.45592,"glide-grid_6eti",,,-7.45592,0,,,,,,,,,,,,,1,,,-7.45592,-27.9732,-4.59556,-32.5687,0,-51.5273
"Z2794293244",3163,Done,101.33,-9.32762,"glide-grid_6eti",,,-9.32762,0,,,,,,,,,,,,,1,,,-9.32762,-46.4899,-3.87931,-50.3692,3.40731,-83.903
"Z2846681338",3164,Done,56.75,-7.66757,"glide-grid_6eti",,,-7.66757,0,,,,,,,,,,,,,1,,,-7.66757,-35.6944,-0.0920632,-35.7865,2.46135,-46.3473
"Z2892330015",3165,Done,65.87,-8.24257,"glide-grid_6eti",,,-8.24257,0,,,,,,,,,,,,,1,,,-8.24257,-38.1622,-5.05107,-43.2132,2.74533,-62.4411
"Z2924357512",3166,Done,45,-8.30871,"glide-grid_6eti",,,-8.30871,0,,,,,,,,,,,,,1,,,-8.30871,-41.0837,-2.89579,-43.9795,0.670742,-62.5593
"Z2949447262",3167,Done,21.79,-9.68015,"glide-grid_6eti",,,-9.68015,-0.354258,,,,,,,,,,,,,1,,,-9.68015,-42.4719,-1.24305,-43.7149,3.85504,-63.9436
"Z4335749295",3168,Done,59.9,-8.62978,"glide-grid_6eti",,,-8.62978,0,,,,,,,,,,,,,1,,,-8.62978,-49.4936,-1.11155,-50.6052,5.82695,-72.3845
"Z4617358957",3169,Done,36.33,-7.87762,"glide-grid_6eti",,,-7.87762,-0.682492,,,,,,,,,,,,,1,,,-7.87762,-34.1016,-2.15547,-36.257,4.87849,-45.292
"Z4617358957",3170,Done,47.53,-7.72218,"glide-grid_6eti",,,-7.72218,-0.606888,,,,,,,,,,,,,1,,,-7.72218,-32.4064,-3.04609,-35.4525,3.64347,-48.0251
"Z4662007647",3171,Done,43.07,-6.92025,"glide-grid_6eti",,,-6.92025,-0.7,,,,,,,,,,,,,1,,,-6.92025,-40.0238,-4.57728,-44.6011,2.11567,-60.2018
"Z4669239992",3172,Done,93.27,-9.11579,"glide-grid_6eti",,,-9.11579,0,,,,,,,,,,,,,1,,,-9.11579,-51.3615,-1.36897,-52.7305,7.55609,-76.2509
"Z4669239992",3173,Done,93.86,-9.19203,"glide-grid_6eti",,,-9.19203,-0.7,,,,,,,,,,,,,1,,,-9.19203,-46.2952,-4.85541,-51.1507,5.07147,-77.1034
"Z2950137344",3174,Done,73.78,-9.01955,"glide-grid_6eti",,,-9.01955,0,,,,,,,,,,,,,1,,,-9.01955,-41.5497,-1.45373,-43.0034,4.4612,-64.6132
"Z2950137344",3175,Done,74.32,-8.21218,"glide-grid_6eti",,,-8.21218,0,,,,,,,,,,,,,1,,,-8.21218,-37.4701,-3.02017,-40.4903,2.72821,-61.7613
"Z2954769281",3176,Done,41.91,-8.98186,"glide-grid_6eti",,,-8.98186,-0.7,,,,,,,,,,,,,1,,,-8.98186,-36.7789,-5.37407,-42.153,4.57922,-58.8267
"Z2954769281",3177,Done,35.55,-7.58828,"glide-grid_6eti",,,-7.58828,-0.7,,,,,,,,,,,,,1,,,-7.58828,-33.4343,-3.15129,-36.5856,4.60765,-51.7436
"Z2964640696",3178,Done,33.45,-7.47513,"glide-grid_6eti",,,-7.47513,0,,,,,,,,,,,,,1,,,-7.47513,-37.5115,-2.74528,-40.2568,3.4686,-48.0638
"Z2964640696",3179,Done,31.88,-7.8983,"glide-grid_6eti",,,-7.8983,0,,,,,,,,,,,,,1,,,-7.8983,-37.7589,-1.3582,-39.1171,6.10644,-49.058
"Z2967643007",3180,Done,69.58,-9.23889,"glide-grid_6eti",,,-9.23889,-0.7,,,,,,,,,,,,,1,,,-9.23889,-36.1536,-6.26924,-42.4228,3.2191,-64.4153
"Z2983338547",3181,Done,87.26,-8.56463,"glide-grid_6eti",,,-8.56463,0,,,,,,,,,,,,,1,,,-8.56463,-47.4672,-3.13211,-50.5993,2.01424,-74.2225
"Z2983338547",3182,Done,95.23,-6.07041,"glide-grid_6eti",,,-6.07041,0,,,,,,,,,,,,,1,,,-6.07041,-43.5634,-0.850515,-44.4139,1.93646,-72.2656
"Z3018919348",3183,Done,36.59,-4.0509,"glide-grid_6eti",,,-4.0509,-0.7,,,,,,,,,,,,,1,,,-4.0509,-19.9475,-3.50827,-23.4557,10.1176,-25.3333
"Z3018919348",3184,Done,51.44,-7.90528,"glide-grid_6eti",,,-7.90528,-0.7,,,,,,,,,,,,,1,,,-7.90528,-23.2678,-7.44251,-30.7104,5.00951,-40.0717
"Z3018919348",3185,Done,43,-7.09086,"glide-grid_6eti",,,-7.09086,-0.7,,,,,,,,,,,,,1,,,-7.09086,-25.853,-8.21332,-34.0663,4.42868,-37.8158
"Z3018919348",3186,Done,38,-7.25848,"glide-grid_6eti",,,-7.25848,-0.718232,,,,,,,,,,,,,1,,,-7.25848,-25.8332,-5.06248,-30.8957,2.26953,-34.8277
"Z3077771580",3187,Done,37.74,-7.65993,"glide-grid_6eti",,,-7.65993,-0.207486,,,,,,,,,,,,,1,,,-7.65993,-40.1506,-2.56767,-42.7183,5.13856,-59.3137
"Z3093475752",3188,Done,54.37,-6.82928,"glide-grid_6eti",,,-6.82928,-0.444851,,,,,,,,,,,,,1,,,-6.82928,-36.4495,-2.78399,-39.2335,6.10783,-55.9712
"Z3093475752",3189,Done,52.75,-6.52403,"glide-grid_6eti",,,-6.52403,-0.299383,,,,,,,,,,,,,1,,,-6.52403,-37.1409,-0.311788,-37.4527,1.27247,-55.9838
"Z3276594318",3190,Done,63.83,-7.28677,"glide-grid_6eti",,,-7.28677,-0.7,,,,,,,,,,,,,1,,,-7.28677,-33.3258,-4.56109,-37.8869,3.11615,-51.5719
"Z3276594318",3191,Done,69.3,-7.13425,"glide-grid_6eti",,,-7.13425,-0.7,,,,,,,,,,,,,1,,,-7.13425,-32.3223,-3.36814,-35.6904,3.17065,-46.9447
"Z3416857672",3192,Done,55.14,-9.12984,"glide-grid_6eti",,,-9.12984,-0.7,,,,,,,,,,,,,1,,,-9.12984,-42.1555,-2.50032,-44.6558,4.03749,-62.6392
"Z3416857672",3193,Done,53.95,-9.01515,"glide-grid_6eti",,,-9.01515,0,,,,,,,,,,,,,1,,,-9.01515,-42.8249,-2.68863,-45.5135,14.1349,-57.6677
"Z3416857672",3194,Done,48.29,-8.38064,"glide-grid_6eti",,,-8.38064,-0.529028,,,,,,,,,,,,,1,,,-8.38064,-38.1178,-2.68128,-40.7991,8.28848,-53.8452
"Z3416857672",3195,Done,55.36,-9.08377,"glide-grid_6eti",,,-9.08377,0,,,,,,,,,,,,,1,,,-9.08377,-41.5053,-2.57396,-44.0793,12.3648,-55.9281
"Z3416857672",3196,Done,48.48,-8.23942,"glide-grid_6eti",,,-8.23942,0,,,,,,,,,,,,,1,,,-8.23942,-42.4734,-0.17565,-42.649,3.93805,-61.5767
"Z3416857672",3197,Done,43.85,-8.80269,"glide-grid_6eti",,,-8.80269,-0.582443,,,,,,,,,,,,,1,,,-8.80269,-38.6325,-6.10682,-44.7393,3.90699,-60.4555
