ids,SMILES
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@H]([C@@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@@H]([C@@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@@H]([C@@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@H]([C@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@H]([C@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@@H]([C@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@@H]([C@H]3CCOC3)C2)[C@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@H]([C@@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@H]([C@@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@@H]([C@@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@@H]([C@@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@H]([C@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@H]([C@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@H](NC(=O)N2CC[C@@H]([C@H]3CCOC3)C2)[C@@H](C)C1
Z1503569030,CC(=O)N1CC[C@@H](NC(=O)N2CC[C@@H]([C@H]3CCOC3)C2)[C@@H](C)C1
Z356160324,O=c1[nH]c2ccccc2c(=O)n1CC[NH+]1CCc2ccccc2C1
Z1996838746,O=C(c1cn2c(n1)CCCC2)N1CCC(c2ccn[nH]2)CC1
Z203181148,CC(=O)N(C)CC(=O)N1c2ccccc2NC(=O)C[C@@H]1C
Z203181148,CC(=O)N(C)CC(=O)N1c2ccccc2NC(=O)C[C@H]1C
Z1504917780,Cn1cc(NC(=O)c2ccnn2C2CCCC2)c(C(F)(F)F)n1
Z237704622,COc1ccc([C@@H]2CCCN2C(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1OC
Z237704622,COc1ccc([C@H]2CCCN2C(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1OC
