,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
2269,Z3063545421,15083,Done,214.13,-9.33041,glide-grid_6eti,,,-9.33041,-1.76096,,,,,,,,,,,,,1.0,,,-9.33041,-33.4634,-7.65542,-41.1188,11.1154,-55.6258,O=C(NCCCCc1ccc(Cl)s1)[C@@H](O)C1(O)CCC1
2270,Z1560725415,5723,Done,234.84,-9.33006,glide-grid_6eti,,,-9.33006,-0.880718,,,,,,,,,,,,,1.0,,,-9.33006,-54.166,-8.46223,-62.6283,7.76153,-94.9261,CNC(=O)Cn1nc(NC(=O)N[C@@H](C)c2ccc(OCC(=O)NC3CC3)cc2)cc1C
2271,Z956306190,6172,Done,63.36,-9.32965,glide-grid_6eti,,,-9.32965,0.0,,,,,,,,,,,,,1.0,,,-9.32965,-44.571,-1.09394,-45.6649,17.7082,-61.4854,CC(=O)N(C)C1CCN(C(=O)CCc2cc3ccccc3o2)CC1
2273,Z2256260780,12898,Done,102.27,-9.32868,glide-grid_6eti,,,-9.32868,0.0,,,,,,,,,,,,,1.0,,,-9.32868,-43.0453,-2.60532,-45.6506,2.23908,-66.0383,O=C([O-])c1ccc(CC(=O)N2CCC(NC(=O)C3CCCCC3)CC2)cc1
2274,Z485635238,17362,Done,111.46,-9.32865,glide-grid_6eti,,,-9.32865,0.0,,,,,,,,,,,,,1.0,,,-9.32865,-46.7595,-2.14644,-48.906,5.37515,-72.0245,O=C(NC1CC1)[C@@H]1CCCN1C(=O)NCc1ccc(N2CCCC2=O)cc1
2275,Z1529870101,202,Done,95.79,-9.32795,glide-grid_6eti,,,-9.32795,0.0,,,,,,,,,,,,,1.0,,,-9.32795,-42.3659,-4.23616,-46.602,2.56226,-65.0186,Cc1cc(C)n(Cc2ccc(C(=O)N3CC[C@@H](CO)C3)cc2)n1
2277,Z2794293244,3163,Done,101.33,-9.32762,glide-grid_6eti,,,-9.32762,0.0,,,,,,,,,,,,,1.0,,,-9.32762,-46.4899,-3.87931,-50.3692,3.40731,-83.903,CC(C)C(=O)N1CCN(C(=O)NCc2cc(-c3ccc(F)cc3F)on2)CC1
2280,Z1522219019,8095,Done,154.69,-9.32731,glide-grid_6eti,,,-9.32731,-0.48,,,,,,,,,,,,,1.0,,,-9.32731,-34.0522,-2.70818,-36.7604,7.94949,-46.8408,Cc1cc(C(=O)N[C@@H](CCO)C2CCCCC2)c(C)n1CC(F)(F)F
2282,Z2438337994,20132,Done,76.53,-9.32697,glide-grid_6eti,,,-9.32697,0.0,,,,,,,,,,,,,1.0,,,-9.32697,-39.2401,-6.63698,-45.877,3.87034,-63.982,C[C@@H]1CN(C(=O)[C@@H]2CC23CC[NH2+]CC3)CCN1C(=O)Cc1cccc(Cl)c1
2283,Z1558702539,17455,Done,79.47,-9.32689,glide-grid_6eti,,,-9.32689,-0.515422,,,,,,,,,,,,,1.0,,,-9.32689,-35.9176,-8.51385,-44.4315,4.63692,-63.9028,NC(=O)NC1(C(=O)N2CCC(c3ccc(O)cc3)CC2)CC1
2284,Z1952140517,21129,Done,135.46,-9.32664,glide-grid_6eti,,,-9.32664,-0.7,,,,,,,,,,,,,1.0,,,-9.32664,-43.0856,-4.47232,-47.5579,1.24843,-73.0136,CC(C)(O)C[NH+]1CCN(C(=O)NC2CC(c3ccc(Cl)cc3)C2)CC1
2288,Z1149551686,4591,Done,49.19,-9.32558,glide-grid_6eti,,,-9.32558,0.0,,,,,,,,,,,,,1.0,,,-9.32558,-48.3327,-0.292281,-48.625,4.63164,-76.9376,CCn1cnnc1C1CCN(C(=O)c2cc3c(Cl)c(Cl)ccc3[nH]2)CC1
2291,Z1223070550,19403,Done,44.54,-9.32528,glide-grid_6eti,,,-9.32528,-0.0813478,,,,,,,,,,,,,1.0,,,-9.32528,-45.4754,-1.8118,-47.2872,3.11314,-70.68,C[C@@H]1CCc2ccccc2N1C(=O)CNc1ccc2c(c1)C(=O)NCC2
2294,Z1269043667,8297,Done,165.66,-9.32428,glide-grid_6eti,,,-9.32428,0.0,,,,,,,,,,,,,1.0,,,-9.32428,-44.4024,-0.987906,-45.3904,0.797003,-67.1922,O=C(NCc1ccc(OC2CCCC2)cc1)N1CC[C@H](N2CCOCC2)C1
2295,Z647261088,18830,Done,47.82,-9.3242,glide-grid_6eti,,,-9.3242,-0.249794,,,,,,,,,,,,,1.0,,,-9.3242,-41.1797,-4.70785,-45.8876,0.948289,-68.0026,O=C(Nc1cccc(-c2ccn[nH]2)c1)c1n[nH]c2c1CCC2
2298,Z983913036,1789,Done,82.52,-9.32317,glide-grid_6eti,,,-9.32317,-0.599729,,,,,,,,,,,,,1.0,,,-9.32317,-43.7757,-6.01086,-49.7866,7.36501,-69.4621,COc1ccc([C@@H]2CCN(C(=O)Nc3ccc(C(N)=O)cc3)C2)cc1
2299,Z509460222,13242,Done,92.81,-9.32249,glide-grid_6eti,,,-9.32249,0.0,,,,,,,,,,,,,1.0,,,-9.32249,-49.7904,-2.07112,-51.8615,17.6741,-74.0883,COc1ccc2[nH]cc(CC(=O)N3CCN(C(=O)c4cccn4C)CC3)c2c1
2300,Z2028178844,12887,Done,67.13,-9.32205,glide-grid_6eti,,,-9.32205,-0.7,,,,,,,,,,,,,1.0,,,-9.32205,-44.1291,-4.94847,-49.0776,2.97755,-73.3466,NC(=O)C1(O)CCN(C(=O)c2cc(-c3cccs3)on2)CC1
2302,Z997911344,2483,Done,88.02,-9.32179,glide-grid_6eti,,,-9.32179,0.0,,,,,,,,,,,,,1.0,,,-9.32179,-46.9985,-0.189977,-47.1885,4.21948,-69.9704,COc1ccccc1CNC(=O)[C@@H]1CCCN(C(=O)c2ccc3[nH]ncc3c2)C1
2307,Z434215770,15347,Done,63.01,-9.32073,glide-grid_6eti,,,-9.32073,-0.7,,,,,,,,,,,,,1.0,,,-9.32073,-43.6849,-4.8898,-48.5747,3.19846,-76.9019,CO[C@H](C(=O)Nc1cccc(-c2nnnn2C)c1)c1ccccc1
2308,Z1953217104,15557,Done,68.9,-9.32072,glide-grid_6eti,,,-9.32072,0.0,,,,,,,,,,,,,1.0,,,-9.32072,-52.0025,0.875829,-51.1266,3.94868,-76.4974,O=C(c1ccnn1C1CCCC1)N1CCN(c2cncc3ccccc23)CC1
2310,Z812422410,8043,Done,83.87,-9.3198,glide-grid_6eti,,,-9.3198,-0.333272,,,,,,,,,,,,,1.0,,,-9.3198,-36.25,-1.88332,-38.1333,6.64753,-51.8444,CCOc1ccc(C2(CNC(=O)c3c(C)nn(C(C)(C)C)c3C)CCOCC2)cc1
2312,Z747912628,12443,Done,70.02,-9.31925,glide-grid_6eti,,,-9.31925,-0.396555,,,,,,,,,,,,,1.0,,,-9.31925,-38.3976,-3.82951,-42.2271,5.69945,-60.3671,CN(C)C(=O)CCNC(=O)N1CCC[C@H]1c1cccc(F)c1
2314,Z2308894717,15874,Done,41.15,-9.31896,glide-grid_6eti,,,-9.31896,-0.7,,,,,,,,,,,,,1.0,,,-9.31896,-32.0923,-1.11455,-33.2069,1.92717,-47.5475,O=C1NC(=O)[C@@H]2CN(C(=O)NC[C@H]3CCCCC3(F)F)C[C@@H]12
2315,Z916815688,5558,Done,97.53,-9.3188,glide-grid_6eti,,,-9.3188,0.0,,,,,,,,,,,,,1.0,,,-9.3188,-41.6655,-4.19795,-45.8635,2.68752,-69.8222,O=C(Cc1cccc(O)c1)N1CCC(C(=O)N2CCOCC2)CC1
2316,Z1985542863,10735,Done,43.43,-9.31855,glide-grid_6eti,,,-9.31855,0.0,,,,,,,,,,,,,1.0,,,-9.31855,-41.8159,-0.276256,-42.0921,1.12876,-55.3663,Cc1ccncc1N1CCN(C(=O)c2cc(Cl)ccc2F)CC1
2317,Z1753998016,2090,Done,54.73,-9.31841,glide-grid_6eti,,,-9.31841,-0.7,,,,,,,,,,,,,1.0,,,-9.31841,-40.9514,-2.88569,-43.8371,11.5947,-62.316,CCc1nnc([C@@H]2C[C@H](O)CN2C(=O)c2csc3c2CCCC3)o1
2318,Z3687012978,12842,Done,184.61,-9.31839,glide-grid_6eti,,,-9.31839,-0.7,,,,,,,,,,,,,1.0,,,-9.31839,-37.5405,-7.36533,-44.9058,2.54862,-66.2229,O=C(N[C@@H]1C[C@@H](Cn2cccn2)C[C@H]1O)c1[nH]ncc1C1CCC1
2322,Z30822308,10468,Done,59.99,-9.3174,glide-grid_6eti,,,-9.3174,0.0,,,,,,,,,,,,,1.0,,,-9.3174,-43.8934,-3.70992,-47.6033,5.16627,-70.2726,O=C(Nc1ccccc1-c1nc2ccccc2[nH]1)C1CCCCC1
2324,Z729665852,7377,Done,56.91,-9.31698,glide-grid_6eti,,,-9.31698,0.0,,,,,,,,,,,,,1.0,,,-9.31698,-46.1577,-2.31435,-48.4721,6.57905,-76.4638,CC(C)N(Cc1ccccn1)C(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1
2326,Z2994024436,13171,Done,104.71,-9.31672,glide-grid_6eti,,,-9.31672,-0.7,,,,,,,,,,,,,1.0,,,-9.31672,-39.4787,-5.40844,-44.8871,6.32455,-61.0278,O[C@@H](c1ccccc1)c1cnn(Cc2noc(C3CC3)n2)c1
2329,Z1624184491,9038,Done,118.99,-9.31569,glide-grid_6eti,,,-9.31569,-0.292493,,,,,,,,,,,,,1.0,,,-9.31569,-35.9977,-6.91152,-42.9092,3.41718,-62.8718,O=C(NC1(CO)CCOCC1)c1cccc(N2CCCC2=O)c1
2330,Z1522107535,20202,Done,57.47,-9.31566,glide-grid_6eti,,,-9.31566,-0.674012,,,,,,,,,,,,,1.0,,,-9.31566,-40.2319,-6.8609,-47.0928,4.07565,-68.868,O=C(NCCc1c[nH]c2ccc(Cl)cc12)[C@H]1CCc2[nH]ncc2C1
2331,Z3019358249,4274,Done,59.13,-9.31485,glide-grid_6eti,,,-9.31485,0.0,,,,,,,,,,,,,1.0,,,-9.31485,-43.5289,-2.6342,-46.1631,3.80654,-66.482,[NH3+]Cc1ccc2nc(C(=O)N3CCC[C@H]3c3ccc(F)cc3)cn2c1
2333,Z1537405973,18832,Done,42.69,-9.31408,glide-grid_6eti,,,-9.31408,0.0,,,,,,,,,,,,,1.0,,,-9.31408,-45.8954,-4.07424,-49.9696,2.57474,-76.197,Cc1ccc2ncc(C(=O)N[C@@H](C)c3ccc4c(c3)CC(=O)N4)n2c1
2337,Z739012926,6316,Done,38.57,-9.31213,glide-grid_6eti,,,-9.31213,-0.0196267,,,,,,,,,,,,,1.0,,,-9.31213,-44.0588,-0.908169,-44.967,1.0452,-68.1411,O=C(c1cncc2ccccc12)N1CCC(N2CCNC2=O)CC1
2338,Z2974799717,8572,Done,32.83,-9.31201,glide-grid_6eti,,,-9.31201,-0.695115,,,,,,,,,,,,,1.0,,,-9.31201,-37.364,-5.8922,-43.2562,1.84101,-57.2825,OCc1ccnc(N2Cc3ccccc3OC3(CCOCC3)C2)n1
2340,Z2232846286,3698,Done,39.03,-9.31152,glide-grid_6eti,,,-9.31152,0.0,,,,,,,,,,,,,1.0,,,-9.31152,-46.4059,-0.353691,-46.7596,2.19289,-72.2551,O=C(c1cc2c(F)ccc(F)c2[nH]1)N1Cc2cnn(-c3ccccc3)c2C1
2341,Z995460232,683,Done,82.06,-9.31133,glide-grid_6eti,,,-9.31133,-0.7,,,,,,,,,,,,,1.0,,,-9.31133,-35.5608,-2.66404,-38.2248,4.33393,-41.8481,O=C1NC(C2CC2)(C2CC2)C(=O)N1Cc1csc(C2CCCC2)n1
2342,Z2159860015,10842,Done,58.17,-9.31116,glide-grid_6eti,,,-9.31116,0.0,,,,,,,,,,,,,1.0,,,-9.31116,-38.3798,-4.1163,-42.4961,15.8209,-54.8317,C[C@H](c1nc(C2(c3cccc(C(F)(F)F)c3)CCCCC2)no1)S(C)(=O)=O
2343,Z2438803008,13494,Done,104.83,-9.31094,glide-grid_6eti,,,-9.31094,-0.674852,,,,,,,,,,,,,1.0,,,-9.31094,-38.3571,-8.29274,-46.6498,1.80806,-70.8853,O=C(CC[C@@H]1CC[NH2+]C1)Nc1cc(-c2cc(F)cc(F)c2)[nH]n1
2344,Z2879222970,19948,Done,55.19,-9.31053,glide-grid_6eti,,,-9.31053,-0.0651874,,,,,,,,,,,,,1.0,,,-9.31053,-50.2707,-1.18908,-51.4598,1.76484,-71.316,C[C@H]1CCCc2cc(-c3noc([C@@H]4CC(=O)N(C5CC5)C4)n3)c(=O)[nH]c21
2345,Z1934717717,17077,Done,26.57,-9.31042,glide-grid_6eti,,,-9.31042,0.0,,,,,,,,,,,,,1.0,,,-9.31042,-40.065,-1.19872,-41.2637,0.987708,-56.1384,Cc1ccc2cc(C(=O)N3C[C@H](C)OC4(CCOCC4)C3)ccc2n1
2351,Z4661830686,5680,Done,35.22,-9.30862,glide-grid_6eti,,,-9.30862,-1.11554,,,,,,,,,,,,,1.0,,,-9.30862,-34.0139,-7.21859,-41.2325,7.33015,-58.9765,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccc(F)c12
2352,Z2109407601,6519,Done,78.3,-9.30809,glide-grid_6eti,,,-9.30809,-0.487138,,,,,,,,,,,,,1.0,,,-9.30809,-45.5359,-3.23021,-48.7661,6.10368,-72.2112,CC(C)c1ccc(Cn2nccc2NC(=O)N2CCO[C@]3(CCCOC3)C2)cc1
2353,Z734246052,18980,Done,61.05,-9.30787,glide-grid_6eti,,,-9.30787,-0.0284675,,,,,,,,,,,,,1.0,,,-9.30787,-43.5078,-0.558023,-44.0658,2.12782,-67.0208,CCc1cccc2c(C3CCN(c4ncccc4C(=O)N(C)C)CC3)c[nH]c12
2355,Z872607120,2804,Done,82.14,-9.30717,glide-grid_6eti,,,-9.30717,0.0,,,,,,,,,,,,,1.0,,,-9.30717,-36.66,-6.44988,-43.1099,4.25869,-71.2047,Cc1cc(C(=O)NCCOc2ccccc2-c2ccccc2)[nH]n1
2356,Z2065643401,10713,Done,65.11,-9.30716,glide-grid_6eti,,,-9.30716,-0.676619,,,,,,,,,,,,,1.0,,,-9.30716,-28.7934,-9.61207,-38.4055,3.15056,-53.696,CC(C)(C)c1ccc(C(=O)N2CC[NH2+]C[C@H](O)C2)cc1
2357,Z806563998,8609,Done,45.66,-9.30696,glide-grid_6eti,,,-9.30696,-0.7,,,,,,,,,,,,,1.0,,,-9.30696,-36.7064,-3.93214,-40.6385,0.0386663,-63.3539,O=C(CC(F)(F)F)Nc1cccc(-c2cn3c(n2)CCCC3)c1
2366,Z1753999537,18584,Done,119.28,-9.30492,glide-grid_6eti,,,-9.30492,-0.7,,,,,,,,,,,,,1.0,,,-9.30492,-43.4631,-5.57092,-49.034,11.1506,-65.1018,CCc1nnc([C@@H]2C[C@H](O)CN2C(=O)c2sc(C3CCCC3)nc2C)o1
2367,Z2116955999,18949,Done,75.25,-9.30472,glide-grid_6eti,,,-9.30472,-0.513066,,,,,,,,,,,,,1.0,,,-9.30472,-40.7379,-4.98997,-45.7278,3.66707,-67.2943,Cc1ccc2c(c1)[C@@H](NC(=O)NC1CCN(c3cc(C)nc(C)n3)CC1)CCC2
2368,Z2438607984,11758,Done,163.48,-9.30437,glide-grid_6eti,,,-9.30437,-0.7,,,,,,,,,,,,,1.0,,,-9.30437,-40.651,-2.85611,-43.5071,4.15997,-59.2959,O=C(CC[C@@H]1CC[NH2+]C1)N[C@H]1CCN(c2cccc(Cl)c2)C1=O
2369,Z1955874693,3438,Done,55.29,-9.30388,glide-grid_6eti,,,-9.30388,-0.609256,,,,,,,,,,,,,1.0,,,-9.30388,-52.7912,-4.14224,-56.9334,0.701424,-90.7362,Cc1sc(NC(=O)c2nccn3ccnc23)nc1-c1ccc2c(c1)CCC(=O)N2
2372,Z2159916225,786,Done,68.28,-9.30365,glide-grid_6eti,,,-9.30365,-0.7,,,,,,,,,,,,,1.0,,,-9.30365,-38.8335,-4.27632,-43.1098,2.20706,-63.9524,CC[C@@H](C)Cc1nc(CC(=O)NCc2ccccc2F)no1
2373,Z2044630279,3549,Done,46.89,-9.30283,glide-grid_6eti,,,-9.30283,0.0,,,,,,,,,,,,,1.0,,,-9.30283,-40.7606,-0.37198,-41.1325,5.33876,-56.7959,CN1C[C@@H](C(=O)N2CCCN(c3ccc(F)c(F)c3)CC2)c2ccccc2C1=O
2374,Z511346236,11624,Done,92.26,-9.30271,glide-grid_6eti,,,-9.30271,-0.504256,,,,,,,,,,,,,1.0,,,-9.30271,-47.4154,-4.04291,-51.4583,4.19074,-78.445,COc1ccccc1N1C[C@@H](C(=O)N[C@@H]2CCCN(c3ncccn3)C2)CC1=O
2375,Z3416648073,7943,Done,34.82,-9.30267,glide-grid_6eti,,,-9.30267,0.0,,,,,,,,,,,,,1.0,,,-9.30267,-39.1921,-2.41389,-41.606,0.377565,-46.9787,N=[S@]1(=O)CCC[C@@]2(CCCN2C(=O)c2cccc(C3CCC3)c2)C1
2377,Z1521883697,20103,Done,68.46,-9.30257,glide-grid_6eti,,,-9.30257,-0.7,,,,,,,,,,,,,1.0,,,-9.30257,-48.3026,-4.32585,-52.6285,8.13952,-78.6077,Cn1cc([C@H](CO)Nc2nc(-c3cnccn3)nc3sc4c(c23)CCCC4)cn1
2381,Z2027569533,16350,Done,35.79,-9.30164,glide-grid_6eti,,,-9.30164,-0.276908,,,,,,,,,,,,,1.0,,,-9.30164,-35.086,-4.74293,-39.8289,0.825745,-56.5654,O=C(c1c[nH]c2cccnc12)N1CCC[C@H]1C1CCC1
2384,Z1147795528,5965,Done,50.64,-9.30033,glide-grid_6eti,,,-9.30033,-0.7,,,,,,,,,,,,,1.0,,,-9.30033,-38.922,-5.2897,-44.2117,2.37313,-64.4546,Cc1cccc(N2C[C@@H](C(=O)Nc3ccnn3C(C)(C)C)CC2=O)c1C
2386,Z1514648170,13031,Done,77.6,-9.29956,glide-grid_6eti,,,-9.29956,-0.680485,,,,,,,,,,,,,1.0,,,-9.29956,-38.1145,-3.29537,-41.4099,5.97977,-60.2852,CNC(=O)c1cccc(C(=O)N2CC[C@@H](C3CCOCC3)C2)c1
2389,Z1023738164,1377,Done,94.49,-9.29893,glide-grid_6eti,,,-9.29893,0.0,,,,,,,,,,,,,1.0,,,-9.29893,-49.165,-0.758341,-49.9234,1.03337,-83.8975,Cc1ccc(Cl)cc1N1CC[C@H](CNC(=O)c2nc(S(C)(=O)=O)n3ccccc23)C1
2393,Z1239235927,17602,Done,88.05,-9.29755,glide-grid_6eti,,,-9.29755,0.0,,,,,,,,,,,,,1.0,,,-9.29755,-45.771,-3.61417,-49.3852,4.94916,-82.6793,N#Cc1ccc(N2CCCN(C(=O)c3ccn(-c4cccc(C(F)(F)F)c4)n3)CC2)cc1
2395,Z1531856863,13038,Done,51.03,-9.29718,glide-grid_6eti,,,-9.29718,-0.352711,,,,,,,,,,,,,1.0,,,-9.29718,-36.0703,-7.63724,-43.7075,8.20014,-57.9338,CCc1onc(C)c1NC(=O)N1CCc2ccc(O)cc2C1
2396,Z2965611002,12056,Done,111.71,-9.29691,glide-grid_6eti,,,-9.29691,-0.951893,,,,,,,,,,,,,1.0,,,-9.29691,-39.1472,-5.07421,-44.2214,9.51932,-61.5147,COc1nn(C)cc1CNC(=O)C1(c2ccccc2)CC(O)C1
2397,Z2654833852,6573,Done,52.28,-9.29688,glide-grid_6eti,,,-9.29688,0.0,,,,,,,,,,,,,1.0,,,-9.29688,-45.0222,-1.21644,-46.2386,7.82778,-70.3278,Cc1ccc(CCS(=O)(=O)N[C@@H]2CS(=O)(=O)Cc3ccccc32)cc1
2398,Z951775958,11391,Done,37.25,-9.29663,glide-grid_6eti,,,-9.29663,-0.614003,,,,,,,,,,,,,1.0,,,-9.29663,-36.7516,-4.63374,-41.3853,1.35287,-58.9581,Cc1cccc2cc(C(=O)NCc3cccnc3)oc12
2403,Z1889620716,19159,Done,107.09,-9.29487,glide-grid_6eti,,,-9.29487,0.0,,,,,,,,,,,,,1.0,,,-9.29487,-40.3168,-4.79796,-45.1148,3.77707,-67.4327,O=C(NCC1CC[NH+](C2CC2)CC1)c1cnn(-c2ccccc2)c1C(F)(F)F
2405,Z2015467896,17390,Done,36.84,-9.29451,glide-grid_6eti,,,-9.29451,0.0,,,,,,,,,,,,,1.0,,,-9.29451,-44.2754,-1.1789,-45.4543,1.85718,-61.7573,C[C@]1(c2cccc(C(=O)N3C[C@H]4COC[C@H](C3)O4)c2)NC(=O)NC1=O
2409,Z1024228222,10043,Done,129.15,-9.29399,glide-grid_6eti,,,-9.29399,0.0,,,,,,,,,,,,,1.0,,,-9.29399,-51.1267,-4.48546,-55.6121,7.83577,-89.8783,NC(=O)c1cccc(CCNC(=O)c2nc(-c3cccs3)n(-c3cccc(F)c3)n2)c1
2412,Z738956682,21383,Done,47.94,-9.29366,glide-grid_6eti,,,-9.29366,0.0,,,,,,,,,,,,,1.0,,,-9.29366,-42.4658,1.2024,-41.2634,9.37635,-58.5998,O=C(Cn1nc2ccccn2c1=O)N1CCC[C@@H]1c1ccccc1Cl
2413,Z2950383187,21159,Done,92.29,-9.29361,glide-grid_6eti,,,-9.29361,-0.546786,,,,,,,,,,,,,1.0,,,-9.29361,-45.2761,-0.595075,-45.8712,4.43151,-67.357,O=C(c1cc(C2CC2)oc1C1CC1)N1CCC[C@H](c2ccn[nH]2)C1
2415,Z2844592413,4847,Done,103.2,-9.29292,glide-grid_6eti,,,-9.29292,-0.767257,,,,,,,,,,,,,1.0,,,-9.29292,-45.0633,-5.44819,-50.5115,2.72913,-74.97,C[C@H](NC(=O)Nc1nnc([C@@H]2CCCO2)s1)c1cccc(C(F)(F)F)c1
2416,Z1449810416,9695,Done,63.11,-9.29283,glide-grid_6eti,,,-9.29283,-0.466552,,,,,,,,,,,,,1.0,,,-9.29283,-45.5002,-3.77435,-49.2746,3.75178,-78.3612,c1cncc(-c2nc3c(c(NCc4nc(C5CC5)no4)n2)CCC3)c1
2417,Z1001978070,16251,Done,86.7,-9.29273,glide-grid_6eti,,,-9.29273,-0.639721,,,,,,,,,,,,,1.0,,,-9.29273,-44.4094,-2.49471,-46.9042,5.68442,-72.0917,Cc1ccc2c(c1)C(=O)N(CC(=O)N(CCC1CCCCC1)CC(N)=O)C2=O
2418,Z3686297848,17236,Done,71.5,-9.29236,glide-grid_6eti,,,-9.29236,-0.932994,,,,,,,,,,,,,1.0,,,-9.29236,-41.5887,-5.46032,-47.049,4.3843,-72.2708,O[C@@H]1C[C@@H](Cn2cccn2)C[C@@H]1Nc1ccnc2ccccc12
2419,Z1171566426,7752,Done,61.98,-9.29202,glide-grid_6eti,,,-9.29202,0.0,,,,,,,,,,,,,1.0,,,-9.29202,-42.9476,-0.721223,-43.6689,5.35252,-67.6657,O=C(c1cc(F)cc(F)c1)N1CCC(c2nncn2C2CC2)CC1
2421,Z2755282443,16483,Done,75.7,-9.29158,glide-grid_6eti,,,-9.29158,0.0,,,,,,,,,,,,,1.0,,,-9.29158,-42.5973,-0.44976,-43.0471,7.72185,-59.8309,COc1cccc(C[C@@H]2CCCN2C(=O)c2cncc(C(=O)[O-])c2)c1
2423,Z1232266467,5643,Done,86.98,-9.29121,glide-grid_6eti,,,-9.29121,0.0,,,,,,,,,,,,,1.0,,,-9.29121,-50.5863,-2.21356,-52.7998,1.87305,-85.4004,Cc1ccc(N2CCC[C@@H](NC(=O)c3ccc(-n4c(C)c[nH]c4=O)cc3)C2)nn1
2424,Z2737042713,10353,Done,61.68,-9.29078,glide-grid_6eti,,,-9.29078,0.0,,,,,,,,,,,,,1.0,,,-9.29078,-43.2844,-5.42843,-48.7129,2.99648,-69.8723,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(C(=O)NCCn1cccn1)O2
2426,Z3687013571,9877,Done,114.08,-9.28949,glide-grid_6eti,,,-9.28949,-0.490464,,,,,,,,,,,,,1.0,,,-9.28949,-36.6184,-4.34524,-40.9636,8.62807,-60.8589,O=C(N[C@@H]1C[C@H](Cn2cccn2)C[C@@H]1O)c1ccnc2c1CCC2
2427,Z2068659549,10020,Done,34.48,-9.28948,glide-grid_6eti,,,-9.28948,0.0,,,,,,,,,,,,,1.0,,,-9.28948,-38.4862,-2.24434,-40.7305,0.377301,-58.3403,Cc1n[nH]c2ncc(NCc3ccc4occc4c3)cc12
2428,Z2860102495,18199,Done,41.3,-9.28891,glide-grid_6eti,,,-9.28891,-0.201825,,,,,,,,,,,,,1.0,,,-9.28891,-42.8597,-6.15511,-49.0149,4.85576,-70.0607,Cc1nc2cc(C(=O)N[C@H]3CC[NH2+]C34CCC4)ccc2c(=O)[nH]1
2429,Z2178248498,18047,Done,43.08,-9.28888,glide-grid_6eti,,,-9.28888,0.0,,,,,,,,,,,,,1.0,,,-9.28888,-45.8195,-0.037914,-45.8574,33.8835,-48.1404,O=C([C@@H]1CCCOC1)N1CCC(c2noc3cc(F)ccc23)CC1
2430,Z1717445672,21125,Done,49.03,-9.28887,glide-grid_6eti,,,-9.28887,-0.108029,,,,,,,,,,,,,1.0,,,-9.28887,-38.0907,-4.28297,-42.3737,1.40195,-49.7432,C[C@@]1(O)CCC[NH+]([C@H]2CCN(c3ccccc3C(F)(F)F)C2=O)C1
2434,Z1626156743,4179,Done,95.22,-9.28843,glide-grid_6eti,,,-9.28843,-0.509588,,,,,,,,,,,,,1.0,,,-9.28843,-46.0542,-4.92217,-50.9764,1.79,-81.215,Cc1nnc2n1C[C@H](NC(=O)Nc1cccc(CN3CCCCC3=O)c1)CC2
2435,Z1828766427,5411,Done,56.34,-9.28829,glide-grid_6eti,,,-9.28829,-0.341353,,,,,,,,,,,,,1.0,,,-9.28829,-45.1792,-3.70508,-48.8843,4.85481,-77.0702,O=C(NCc1ccco1)[C@H]1CCCN1c1ccnc2c(F)cccc12
2436,Z352546294,8190,Done,59.72,-9.28726,glide-grid_6eti,,,-9.28726,-0.7,,,,,,,,,,,,,1.0,,,-9.28726,-40.3684,-5.07324,-45.4416,2.46042,-65.2538,CCC1CCC2(CC1)NC(=O)N(CC(=O)Nc1nnc[nH]1)C2=O
2438,Z2435117640,133,Done,65.33,-9.28534,glide-grid_6eti,,,-9.28534,0.0,,,,,,,,,,,,,1.0,,,-9.28534,-43.2082,-4.05486,-47.2631,0.793703,-71.8931,Cc1cccn2cc(-c3ccc(NC(=O)[C@H]4CC45CC[NH2+]CC5)cc3)nc12
2439,Z1177071867,15419,Done,64.34,-9.28516,glide-grid_6eti,,,-9.28516,0.0,,,,,,,,,,,,,1.0,,,-9.28516,-47.1323,-0.802155,-47.9344,0.233712,-78.1522,Cc1cc(NC(=O)N2CCC[C@H](N3CCCC3=O)C2)n(-c2ccccn2)n1
2440,Z54645751,11098,Done,35.94,-9.28507,glide-grid_6eti,,,-9.28507,-0.0624412,,,,,,,,,,,,,1.0,,,-9.28507,-38.724,-4.34179,-43.0658,1.77579,-63.4117,C[C@H]1Oc2ccccc2O[C@H]1C(=O)NCc1ccccc1
