,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
8314,Z2755274154,9116,Done,64.35,-8.16362,glide-grid_6eti,,,-8.16362,0.0,,,,,,,,,,,,,1.0,,,-8.16362,-37.3097,-0.843698,-38.1534,5.5609,-52.9377,Cn1nc(C(=O)[O-])cc1C(=O)N1CC[C@@H](Cc2ccccc2)C1
8316,Z2959157329,15633,Done,57.25,-8.16357,glide-grid_6eti,,,-8.16357,-0.7,,,,,,,,,,,,,1.0,,,-8.16357,-41.4376,-5.20264,-46.6403,7.11994,-64.551,CNC(=O)[C@H](NC(=O)c1ccc(C(C)C)[nH]c1=O)C(C)C
8318,Z1030577026,17972,Done,66.65,-8.16322,glide-grid_6eti,,,-8.16322,0.0,,,,,,,,,,,,,1.0,,,-8.16322,-35.4952,-1.37757,-36.8728,9.93622,-48.9193,O=C(c1csnn1)N(CC[C@@H]1C[C@@H]2CC[C@H]1C2)C1CC1
8321,Z1505803004,1362,Done,62.21,-8.16307,glide-grid_6eti,,,-8.16307,0.0,,,,,,,,,,,,,1.0,,,-8.16307,-42.9904,-2.17601,-45.1664,3.31523,-68.1024,Cc1nnccc1C(=O)Nc1ccc(Cc2ccncc2)cc1
8324,Z3670176999,10378,Done,84.91,-8.16277,glide-grid_6eti,,,-8.16277,0.0,,,,,,,,,,,,,1.0,,,-8.16277,-49.8411,-1.67418,-51.5153,1.66127,-78.0911,CNc1c(C(=O)NCCc2ccccc2N2CCOCC2)sc2nccnc12
8325,Z2173014935,2623,Done,98.89,-8.16275,glide-grid_6eti,,,-8.16275,-0.403644,,,,,,,,,,,,,1.0,,,-8.16275,-42.9253,-3.88991,-46.8153,4.69636,-67.8776,O=C(Nc1cc(C2CCCC2)[nH]n1)c1cc(O)ccc1Cl
8326,Z2001921773,7241,Done,75.07,-8.16273,glide-grid_6eti,,,-8.16273,0.0,,,,,,,,,,,,,1.0,,,-8.16273,-37.7803,-0.0265675,-37.8069,1.98537,-58.002,O=C(NC1(C(F)F)CC1)c1nc(C2CC2)n(-c2ccccc2)n1
8329,Z1449934687,14803,Done,38.62,-8.16266,glide-grid_6eti,,,-8.16266,0.0,,,,,,,,,,,,,1.0,,,-8.16266,-44.7189,0.0646499,-44.6543,15.8905,-49.2701,CCc1cc(N2CCC[C@H](c3nc4c(s3)CCCC4)C2)n2ncnc2n1
8330,Z2217324243,8658,Done,37.82,-8.16262,glide-grid_6eti,,,-8.16262,-0.540988,,,,,,,,,,,,,1.0,,,-8.16262,-39.7389,-2.18526,-41.9242,1.31988,-60.4018,CC1(C)C(=O)Nc2cc(C(=O)NCc3ccccc3)ccc21
8331,Z1747729650,10914,Done,38.03,-8.16262,glide-grid_6eti,,,-8.16262,-0.641742,,,,,,,,,,,,,1.0,,,-8.16262,-36.8446,-4.07017,-40.9148,0.254241,-58.2655,O=C(Cn1ccc2ccccc21)N[C@@H]1CCn2ccnc2C1
